Publication,Cited Publication,Authors
Byzantine resilience with reputation scores,Byzantine machine learning: A primer,R Guerraoui;N Gupta;R Pinot
Byzantine resilience with reputation scores,Collaborative fairness in federated learning,L Lyu;X Xu;Q Wang;H Yu
Byzantine resilience with reputation scores,Byzantine machine learning made easy by resilient averaging of momentums,S Farhadkhani;R Guerraoui;N Gupta
Byzantine resilience with reputation scores,"Variance reduction is an antidote to byzantines: Better rates, weaker assumptions and communication compression as a cherry on the top",E Gorbunov;S Horváth;P Richtárik;G Gidel
Byzantine resilience with reputation scores,HeteroSAg: Secure aggregation with heterogeneous quantization in federated learning,AR Elkordy;AS Avestimehr
Byzantine resilience with reputation scores,Practical differentially private and byzantine-resilient federated learning,Z Xiang;T Wang;W Lin;D Wang
Byzantine resilience with reputation scores,Communication compression for byzantine robust learning: New efficient algorithms and improved rates,A Rammal;K Gruntkowska;N Fedin
Byzantine resilience with reputation scores,Towards building a robust and fair federated learning system,X Xu;L Lyu
Byzantine resilience with reputation scores,Basil: A fast and byzantine-resilient approach for decentralized training,AR Elkordy;S Prakash
Byzantine resilience with reputation scores,Byzantine robustness and partial participation can be achieved simultaneously: Just clip gradient differences,G Malinovsky;P Richtárik;S Horváth
Byzantine resilience with reputation scores,Signguard: Byzantine-robust federated learning through collaborative malicious gradient filtering,J Xu;SL Huang;L Song;T Lan
Byzantine resilience with reputation scores,Secure federated learning against model poisoning attacks via client filtering,DN Yaldiz;T Zhang;S Avestimehr
Byzantine resilience with reputation scores,Secure aggregation with heterogeneous quantization in federated learning,AR Elkordy;AS Avestimehr
Byzantine resilience with reputation scores,Secure distributed training at scale,E Gorbunov;A Borzunov;M Diskin
Byzantine resilience with reputation scores,Secure distributed optimization under gradient attacks,S Yu;S Kar
Byzantine resilience with reputation scores,Privacy-Preserving Aggregation for Decentralized Learning with Byzantine-Robustness,AR Ghavamipour;BZH Zhao;O Ersoy
Byzantine resilience with reputation scores,On the Conflict of Robustness and Learning in Collaborative Machine Learning,M Raynal;C Troncoso
Byzantine resilience with reputation scores,Aspis: Robust detection for distributed learning,K Konstantinidis;A Ramamoorthy
Byzantine resilience with reputation scores,Byzantine resilience with reputation scores,J Regatti;H Chen;A Gupta
Byzantine resilience with reputation scores,BOBA: Byzantine-Robust Federated Learning with Label Skewness,W Bao;J Wu;J He
Byzantine resilience with reputation scores,High dimensional distributed gradient descent with arbitrary number of byzantine attackers,P Zhao;Z Wan
Byzantine resilience with reputation scores,Byzantine-Robust Decentralized Learning via Remove-then-Clip Aggregation,C Yang;J Ghaderi
Byzantine resilience with reputation scores,A Reputation System for Provably-Robust Decision-Making in IoT Blockchain Networks,C Rawlins;S Jagannathan
Byzantine resilience with reputation scores,Robust Distributed Gradient Aggregation Using Projections onto Gradient Manifolds,KI Kim
Byzantine resilience with reputation scores,Byzantine-resilient Federated Low Rank Column-wise Compressive Sensing,AP Singh;N Vaswani
Byzantine resilience with reputation scores,Detection and Mitigation of Byzantine Attacks in Distributed Training,K Konstantinidis;N Vaswani
Byzantine resilience with reputation scores,Linear Scalarization for Byzantine-robust learning on non-IID data,L Errami;EH Bergou
Byzantine resilience with reputation scores,Byzantine Resilient and Fast Federated Few-Shot Learning,AP Singh;N Vaswani
Byzantine resilience with reputation scores,A Lightweight Machine-Learning Framework for Enhancing Security in IoT Blockchain Networks,CC Rawlins
Byzantine resilience with reputation scores,Efficient Detection and Filtering Systems for Distributed Training,K Konstantinidis;A Ramamoorthy
Byzantine resilience with reputation scores,Robust and Fair Distributed Learning,G Zhou
Byzantine resilience with reputation scores,Byzantine-robust decentralized optimization for Machine Learning,W Cappelletti
Consensus clustering with unsupervised representation learning,Learning representation for clustering via prototype scattering and positive sampling,Z Huang;J Chen;J Zhang
Consensus clustering with unsupervised representation learning,Effective sample pairs based contrastive learning for clustering,J Yin;H Wu;S Sun
Consensus clustering with unsupervised representation learning,Divclust: Controlling diversity in deep clustering,IM Metaxas;G Tzimiropoulos
Consensus clustering with unsupervised representation learning,You never cluster alone,Y Shen;Z Shen;M Wang;J Qin
