Author,Citations,affiliation,domain,country,continent,completed
PA Kara,11,Budapest University,,Hungary,Europe,True
RR Tamboli,6,IITH,,India,Asia,True
JR Regatti,5,Microsoft,@microsoft.com,USA,North America,True
A Simon,4,Sigma Technology,,Hungary,Europe,True
G Tzimiropoulos,4,Samsung AI Center,qmul.ac.uk,UK,Europe,True
M Guindy,4,Holografika,,Hungary,Europe,True
S Ande,4,IITH,@iith.ac.in,India,Asia,True
Z Hu,4,Hefei University of Technology,hfut.edu.cn,China,Asia,True
S Avasarala,3,IITH,iith.ac.in,India,Asia,True
Y Li,3,Tencent,tencent.com,China,Asia,True
K Konstantinidis,3,Iowa State University,iastate.edu,United States,North America,True
A Karunarathne,3,The University of Toledo,utoledo.edu,United States,North America,True
D Li,3, National University of Defense Technology,nudt.edu.cn,China,Asia,True
AR Elkordy,3,University of Southern California,usc.edu,United States,North America,True
A Cserkaszky,3,Holografika,,Hungary,Europe,True
N Vaswani,3,Iowa State University,,USA,North America,True
S Avestimehr,3,University of Southern California,usc.edu,United States,North America,True
U Dogan,3,Microsoft,microsoft.com,United States,North America,True
AA Deshmukh,3,Microsoft,microsoft.com,United States,North America,True
S Ding,2,The Chinese University of Hong Kong,cuhk.edu.hk,Hong Kong,Asia,True
I Patras,2," Queen Mary, University of London",qmul.ac.uk,UK,Europe,True
MG Martini,2,Kingston University London,kingston.ac.uk,UK,Europe,True
R Guerraoui,2,EPFL,epfl.ch,Switzerland,Europe,True
T Sun,2,National University of Defense Technology,nudt.edu.cn,China,Asia,True
R Hong,2,Hefei University of Technology,hfut.edu.cn,China,Asia,True
S Li,2,NUDT,nudt.edu.cn,China,Asia,True
Z Song,2,Hefei University of Technology,hfut.edu.cn,China,Asia,True
L Giri,2,IITH,iith.ac.in,India,Asia,True
L Song,2,CUHK,,China,Asia,True
S Jiang,2, Huizhou University,hzu.edu.cn,China,Asia,True
A Gupta,2,Ohio State University,@osu.edu,USA,North America,True
X Deng,2,National University of Defense Technology,nudt.edu.cn,China,Asia,True
V Narayanan,2,IITH,iith.ac.in,India,Asia,True
N Gupta,2,EPFL,,Switzerland,Europe,True
Z Li,2,UC Berkeley,,United States,North America,True
A Barsi,2,Holografika,,Hungary,Europe,True
J Chen,2, Fudan University,fudan.edu.cn,China,Asia,True
C Rawlins,2,Missouri University of Science and Technology,,United States,North America,True
E Gorbunov,2,Mohamed bin Zayed University of Artificial Intelligence,mbzuai.ac.ae,UAE,Asia,True
L Mahon,2,University of Edinburgh,ed.ac.uk,UK,Europe,True
T Lukasiewicz,2,Vienna University of Technology,tuwien.ac.at,Austria,Europe,True
J Zhang,2, Fudan University,fudan.edu.cn,China,Asia,True
